Bootcamp Course,Bootcamp Format,how did you hear about us?,Person Account: Tech Background,Person Account: Gender,Person Account: Highest degree received,Person Account: Looking for a Job,Person Account: Nationality,Stage Duration,Hours Before First Touchpoint,Person Account: City Before Course,Person Account: Eligible to Work In,Paid Deposit,Time to first touchpoint - days,Time First touchpoint to Close date - days,Scholarship,Discount,Time Conversion - days,Time between Created Date and Start Date - days,Discount(%),Creater Month,Creater Quarter
WD,FT,Referral,No experience,Female,Bachelor Degree,Yes,Americas,77.0,1010.94,Barcelona,Yes,0,42,34,0,1,76,74,0.09999999999999998,7,3
WD,FT,Referral,I don´t have experience,Male,No Formal Schooling,Yes,Spain,229.0,1275.6,Barcelona,Yes,0,53,5,0,0,58,148,0.0,2,1
UX,PT,Referral,Beginning learner,Male,Bachelor Degree,Yes,Spain,102.0,149.47,Barcelona,Yes,1,6,36,0,1,42,74,0.06999999999999995,7,3
DA,FT,newspaperOrMagazine,No experience,Male,Bachelor Degree,Yes,Spain,218.0,1.69,Barcelona,Yes,1,0,70,0,0,70,206,0.0,3,1
DA,FT,google,No experience,Female,Bachelor Degree,Yes,Americas,99.0,88.11,Barcelona,Yes,0,4,1,0,1,5,116,0.09999999999999998,6,2
UX,FT,Referral,Beginning learner,Female,Master's Degree,Yes,Spain,181.0,379.7,Sant Cugat,Yes,0,16,47,0,1,63,55,0.15000000000000002,4,2
DA,PT,google,No experience,Female,Bachelor Degree,Yes,Spain,183.0,63.41,Barcelona,Yes,0,3,43,0,1,46,32,0.09999999999999998,5,2
WD,FT,Social Media,Learning: Beginner Level,Male,No Formal Schooling,Yes,Spain,229.0,58.81,Malaga,Yes,0,2,43,0,0,45,135,0.0,2,1
WD,FT,Referral,I don´t have experience,Female,Bachelor Degree,Yes,Spain,180.0,882.59,Bcn,Yes,1,67,217,0,1,284,245,0.17000000000000004,1,1
WD,FT,newspaperOrMagazine,I don´t have experience,Male,Bachelor Degree,Yes,Spain,258.0,1074.15,Barcelona,Yes,0,17,12,0,0,29,28,0.15000000000000002,3,1
DA,FT,other,Beginning learner,Male,Master's Degree,Yes,Spain,232.0,89.26,Barcelona,Yes,0,4,71,0,0,75,67,0.0,4,2
WD,FT,google,Beginning learner,Female,Master's Degree,Yes,Americas,216.0,23.16,Barcelona,Yes,0,31,26,0,0,57,56,0.0,5,2
UX,FT,IronhackEvent,Beginning learner,Female,Master's Degree,Yes,Spain,172.0,11.85,Barcelona,Yes,1,1,5,0,0,6,5,0.0,6,2
WD,FT,Referral,Learning: Beginner Level,Male,Bachelor Degree,Yes,Spain,260.0,1127.53,Barcelona,Yes,1,47,5,0,0,52,150,0.0,1,1
DA,PT,Referral,Learning: Beginner Level,Female,Bachelor Degree,No,Spain,229.0,941.25,Barcelona,Yes,0,39,8,0,0,47,124,0.0,2,1
WD,FT,google,No experience,Female,Bachelor Degree,Yes,Spain,176.0,0.39,Barcelona,Yes,1,0,62,0,1,62,76,0.09999999999999998,4,2
DA,FT,google,I don´t have experience,Female,Bachelor Degree,Yes,Americas,260.0,47.78,Middle East,No,0,2,41,0,0,43,42,0.15000000000000002,2,1
WD,PT,Referral,No experience,Male,No Formal Schooling,Yes,Spain,103.0,86.61,Barcelona,Yes,0,4,0,0,0,4,186,0.0,3,1
WD,FT,google,Learning: Beginner Level,Female,Bachelor Degree,Yes,Spain,260.0,1302.55,Barcelona,Yes,0,54,13,0,0,67,66,0.15000000000000002,1,1
WD,FT,newspaperOrMagazine,Beginning learner,Female,Bachelor Degree,Yes,Americas,168.0,205.91,Barcelona,Yes,0,8,8,0,0,16,15,0.0,6,2
WD,FT,Referral,Learning: Beginner Level,Male,Bachelor Degree,Yes,Europa-Asia,278.0,143.0,Barcelona,Yes,1,6,105,0,1,111,249,0.13,2,1
DA,PT,Referral,Learning: Beginner Level,Male,Master's Degree,Yes,Europa-Asia,186.0,789.41,Barcelona,Yes,0,33,5,0,0,38,115,0.0,2,1
UX,FT,Social Media,Beginning learner,Male,Bachelor Degree,Yes,Americas,258.0,0.73,Barcelona,Yes,0,0,8,0,0,8,7,0.15000000000000002,3,1
UX,FT,Social Media,No experience,Female,Bachelor Degree,No,Spain,257.0,0.31,Galicia,Yes,0,0,7,0,0,7,188,0.0,3,1
UX,FT,Referral,No experience,Male,No Formal Schooling,Yes,Spain,239.0,13.12,Zaragoza,Yes,0,1,4,0,0,5,186,0.0,3,1
WD,FT,google,No experience,Male,PhD,Yes,Americas,193.0,119.16,Barcelona,Yes,1,5,60,0,1,65,96,0.06999999999999995,3,1
WD,FT,Referral,No experience,Male,Master's Degree,Yes,Europa-Asia,216.0,27.01,Barcelona,Yes,1,1,223,0,1,224,571,0.06999999999999995,3,1
WD,FT,Referral,Intermediate learner,Male,Bachelor Degree,Yes,Spain,256.0,5.68,Menorca,Yes,1,0,3,0,0,3,97,0.0,3,1
DA,FT,Referral,Beginning learner,Male,Master's Degree,Yes,Europa-Asia,258.0,26.49,Singapore,No,0,1,8,0,0,9,8,0.15000000000000002,3,1
WD,FT,google,I don´t have experience,Male,Bachelor Degree,Yes,Spain,281.0,14.75,Girona,Yes,0,1,34,0,0,35,125,0.0,2,1
WD,PT,Referral,Learning: Beginner Level,Male,High school Graduate,Yes,Spain,85.0,1555.62,Barcelona,Yes,1,65,201,0,0,266,225,0.0,2,1
DA,FT,Social Media,I don´t have experience,Female,Bachelor Degree,Yes,Americas,258.0,193.84,Ciudad de Panama,Yes,0,8,28,0,1,36,35,0.24,2,1
WD,PT,Referral,I don´t have experience,Male,Bachelor Degree,Yes,Spain,134.0,95.81,Barcelona,Yes,1,121,54,0,1,175,239,0.21999999999999997,2,1
DA,FT,other,Learning: Intermediate Level,Male,Bachelor Degree,Yes,Europa-Asia,257.0,193.53,Djibouti City,No,0,8,33,0,0,41,124,0.0,2,1
WD,PT,google,Learning: Beginner Level,Male,Bachelor Degree,Yes,Americas,279.0,18.22,Barcelona,No,0,1,33,0,0,34,20,0.15000000000000002,2,1
UX,FT,Social Media,Intermediate learner,Male,Bachelor Degree,Yes,Americas,209.0,95.5,-,No,0,4,11,0,0,15,196,0.0,3,1
UX,FT,Referral,No experience,Male,Master's Degree,Yes,Spain,64.0,33.1,Barcelona,Yes,0,1,13,0,0,14,33,0.0,9,3
UX,FT,Social Media,Beginning learner,Male,Bachelor Degree,Yes,Europa-Asia,103.0,19.47,Paris,Yes,0,1,75,0,0,76,166,0.0,4,2
DA,PT,google,No experience,Female,Bachelor Degree,Yes,Spain,186.0,26.16,Barcelona,Yes,0,1,39,0,0,40,26,0.0,5,2
UX,FT,other,Beginning learner,Female,Bachelor Degree,No,Europa-Asia,215.0,22.8,Barcelona,Yes,1,1,81,0,1,82,69,0.14,4,2
DA,PT,Referral,No experience,Female,Bachelor Degree,Yes,Spain,183.0,3.24,Barcelona,Yes,0,0,69,0,1,69,55,0.09999999999999998,4,2
WD,PT,google,No experience,Male,No Formal Schooling,Yes,Spain,155.0,23.12,Barcelona,Yes,0,1,69,0,0,70,161,0.0,4,2
WD,FT,Social Media,Beginning learner,Male,Bachelor Degree,No,Spain,76.0,0.35,Palma de Mallorca,Yes,0,0,69,0,0,69,159,0.0,4,2
DA,PT,google,Beginning learner,Male,PhD,Yes,Europa-Asia,217.0,13.19,Barcelona,Yes,0,0,70,0,0,70,56,0.0,4,2
WD,FT,Referral,No experience,Female,Bachelor Degree,Yes,Europa-Asia,166.0,45.91,Barcelona,Yes,1,2,63,0,1,65,163,0.16000000000000003,4,2
DA,FT,Referral,Beginning learner,Female,Master's Degree,Yes,Spain,67.0,1490.66,Sevilla,Yes,0,2,21,0,1,23,42,0.09999999999999998,9,3
UX,FT,Referral,Beginning learner,Female,Master's Degree,Yes,Spain,64.0,73.5,Barcelona,Yes,0,3,7,0,0,10,29,0.0,9,3
UX,PT,Referral,No experience,Male,Bachelor Degree,Yes,Spain,74.0,64.47,Barcelona,Yes,0,3,5,0,1,8,7,0.06999999999999995,9,3
WD,PT,other,Advanced,Male,Bachelor Degree,No,Spain,103.0,167.02,Barcelona,Yes,0,7,72,0,1,79,78,0.06999999999999995,7,3
WD,FT,Social Media,Beginning learner,Female,Bachelor Degree,Yes,Spain,148.0,139.22,Cardadeu,Yes,1,182,6,0,1,188,265,0.09999999999999998,1,1
WD,PT,google,Beginning learner,Male,No Formal Schooling,Yes,Spain,32.0,37.73,Barcelona,Yes,0,61,234,0,0,295,540,0.0,3,1
WD,PT,Referral,No experience,Female,Bachelor Degree,Yes,Spain,7.0,22.45,Barcelona,Yes,0,30,234,0,1,264,509,0.09999999999999998,4,2
DA,FT,Social Media,Beginning learner,Female,Bachelor Degree,Yes,Europa-Asia,64.0,14.26,Barcelona,Yes,0,31,25,0,1,56,167,0.16000000000000003,5,2
