Bootcamp Course,Bootcamp Format,Bootcamp Year,Bootcamp Start Date,Campus - Timezone,Created Date,Close Date,Stage,Discount Amount (converted),Scholarship Amount (converted),Amount (converted),Net Amount With VAT (converted),Drop,Drop Reason,how did you hear about us?,Person Account: Tech Background,Person Account: Gender,Person Account: Highest degree received,Person Account: Looking for a Job,Person Account: Nationality,Stage Duration,Account: Last Modified Date,First touchpoint Date,Hours Before First Touchpoint,Person Account: City Before Course,Person Account: Eligible to Work In
WD,FT,2020,2020-09-28,BCN,2020-07-16,2020-09-30,Closed lost,700.0,0.0,7000.0,6300.0,0,Not specified,Referral,No experience,Female,Bachelor Degree,Yes,Americas,77.0,2020-04-12,2020-08-27,1010.94,Barcelona,Yes
WD,FT,2020,2020-06-29,BCN,2020-02-02,2020-03-31,Closed lost,0.0,0.0,7000.0,7000.0,0,Not specified,Referral,I don´t have experience,Male,No Formal Schooling,Yes,Spain,229.0,2020-11-26,2020-03-26,1275.6,Barcelona,Yes
UX,PT,2020,2020-09-29,BCN,2020-07-17,2020-08-28,Paid Deposit,500.0,0.0,7500.0,7000.0,0,Not specified,Referral,Beginning learner,Male,Bachelor Degree,Yes,Spain,102.0,2020-04-12,2020-07-23,149.47,Barcelona,Yes
DA,FT,2020,2020-10-19,BCN,2020-03-27,2020-06-05,Paid Deposit,0.0,0.0,7000.0,7000.0,0,Not specified,newspaperOrMagazine,No experience,Male,Bachelor Degree,Yes,Spain,218.0,2020-09-10,2020-03-27,1.69,Barcelona,Yes
DA,FT,2020,2020-10-19,BCN,2020-06-25,2020-06-30,Closed lost,700.0,0.0,7000.0,6300.0,0,Not specified,google,No experience,Female,Bachelor Degree,Yes,Americas,99.0,2020-08-10,2020-06-29,88.11,Barcelona,Yes
UX,FT,2020,2020-06-22,BCN,2020-04-28,2020-06-30,Closed lost,1050.0,0.0,7000.0,5950.0,0,Not specified,Referral,Beginning learner,Female,Master's Degree,Yes,Spain,181.0,2020-08-10,2020-05-14,379.7,Sant Cugat,Yes
DA,PT,2020,2020-06-16,BCN,2020-05-15,2020-06-30,Closed lost,750.0,0.0,7500.0,6750.0,0,Not specified,google,No experience,Female,Bachelor Degree,Yes,Spain,183.0,2020-08-10,2020-05-18,63.41,Barcelona,Yes
WD,FT,2020,2020-06-29,BCN,2020-02-15,2020-03-31,Closed lost,0.0,0.0,7000.0,7000.0,0,Not specified,Social Media,Learning: Beginner Level,Male,No Formal Schooling,Yes,Spain,229.0,2020-08-10,2020-02-17,58.81,Malaga,Yes
WD,FT,2020,2020-09-28,BCN,2020-01-27,2020-11-06,Paid Deposit,1300.0,0.0,7500.0,6200.0,0,Not specified,Referral,I don´t have experience,Female,Bachelor Degree,Yes,Spain,180.0,2020-04-12,2020-04-03,882.59,Bcn,Yes
WD,FT,2020,2020-03-30,BCN,2020-03-02,2020-03-31,Closed lost,0.0,0.0,7000.0,5950.0,0,Not specified,newspaperOrMagazine,I don´t have experience,Male,Bachelor Degree,Yes,Spain,258.0,2020-08-14,2020-03-19,1074.15,Barcelona,Yes
DA,FT,2020,2020-06-22,BCN,2020-04-16,2020-06-30,Closed lost,0.0,0.0,7000.0,7000.0,0,Not specified,other,Beginning learner,Male,Master's Degree,Yes,Spain,232.0,2020-04-12,2020-04-20,89.26,Barcelona,Yes
DA,FT,2020,2020-06-22,BCN,2020-02-16,2020-03-31,Closed lost,0.0,0.0,7000.0,7000.0,0,Not specified,courseReport,I don´t have experience,Male,Bachelor Degree,Yes,Europa-Asia,181.0,2020-08-10,2020-04-23,1606.52,Milan,Yes
WD,FT,2020,2020-02-17,BCN,2020-01-24,2020-03-31,Closed lost,0.0,0.0,7000.0,7000.0,0,Not specified,Referral,I don´t have experience,Female,Master's Degree,Yes,Americas,306.0,2020-08-10,2020-06-02,310.3,Barcelona,Yes
WD,FT,2020,2020-06-29,BCN,2020-05-04,2020-06-30,Closed lost,0.0,0.0,7000.0,7000.0,0,Not specified,google,Beginning learner,Female,Master's Degree,Yes,Americas,216.0,2020-08-10,2020-06-04,23.16,Barcelona,Yes
UX,FT,2020,2020-06-22,BCN,2020-06-17,2020-06-23,Paid Deposit,0.0,0.0,7000.0,7000.0,0,Not specified,IronhackEvent,Beginning learner,Female,Master's Degree,Yes,Spain,172.0,2020-04-12,2020-06-18,11.85,Barcelona,Yes
DA,FT,2020,2020-06-22,BCN,2020-04-04,2020-06-30,Closed lost,0.0,0.0,7000.0,7000.0,0,Not specified,google,No experience,Male,Bachelor Degree,Yes,Spain,180.0,2020-08-10,2020-08-04,105.76,Sabadell,Yes
WD,FT,2020,2020-06-29,BCN,2020-01-31,2020-03-23,Paid Deposit,0.0,0.0,7000.0,7000.0,0,Not specified,Referral,Learning: Beginner Level,Male,Bachelor Degree,Yes,Spain,260.0,2020-04-12,2020-03-18,1127.53,Barcelona,Yes
DA,PT,2020,2020-06-16,BCN,2020-02-13,2020-03-31,Closed lost,0.0,0.0,7500.0,7500.0,0,Not specified,Referral,Learning: Beginner Level,Female,Bachelor Degree,No,Spain,229.0,2020-09-10,2020-03-23,941.25,Barcelona,Yes
WD,FT,2020,2020-06-29,BCN,2020-04-14,2020-06-15,Paid Deposit,700.0,0.0,7000.0,6300.0,0,Not specified,google,No experience,Female,Bachelor Degree,Yes,Spain,176.0,2020-04-12,2020-04-14,0.39,Barcelona,Yes
DA,FT,2020,2020-03-30,BCN,2020-02-17,2020-03-31,Closed lost,0.0,0.0,7000.0,5950.0,0,Not specified,google,I don´t have experience,Female,Bachelor Degree,Yes,Americas,260.0,2020-08-10,2020-02-19,47.78,Middle East,No
WD,FT,2020,2020-09-28,BCN,2020-01-31,2020-06-04,Paid Deposit,0.0,0.0,7000.0,7000.0,0,Not specified,Referral,Learning: Beginner Level,Male,Bachelor Degree,Yes,Spain,246.0,2020-07-12,2020-08-06,3095.79,Barcelona,Yes
