Bootcamp Course,Bootcamp Format,Bootcamp Year,Campus - Timezone,Drop,Drop Reason,how did you hear about us?,Person Account: Gender,Stage Duration,Paid Deposit,Scholarship,Discount,Time Conversion - days,Time between Created Date and Start Date - days,Discount(%),Creater Month,Creater Quarter
WD,FT,2018,MEX,0,Not specified,Social Media,Male,1125.0,0,0,0,110,133,0.0,9,3
UX,FT,2018,AMS,0,Not specified,google,Male,875.0,0,0,0,39,97,0.0,7,3
UX,FT,2018,BCN,0,Not specified,google,Male,952.0,0,0,0,143,227,0.0,1,1
WD,FT,2020,MIA,0,Not specified,Social Media,Female,147.0,0,0,0,0,34,0.0,7,3
WD,PT,2018,MIA,0,Not specified,other,Male,1125.0,0,0,1,388,421,0.08999999999999997,9,3
UX,FT,2018,MEX,0,Not specified,Social Media,Male,875.0,0,0,0,9,104,0.0,7,3
WD,PT,2018,MEX,0,Not specified,Social Media,Male,952.0,0,0,0,212,290,0.0,1,1
UX,FT,2018,PAR,0,Not specified,google,Male,1125.0,0,0,0,92,324,0.0,9,3
WD,PT,2019,PAR,0,Not specified,Social Media,Female,418.0,0,0,0,49,23,0.0,8,3
WD,FT,2018,PAR,0,Not specified,google,Male,875.0,0,0,1,36,89,0.13,7,3
WD,PT,2018,MEX,0,Not specified,Social Media,Male,952.0,0,0,0,212,290,0.0,1,1
WD,FT,2020,MIA,0,Not specified,google,Male,117.0,0,0,0,84,40,0.0,7,3
WD,PT,2019,MIA,0,Not specified,Social Media,Female,442.0,0,0,0,24,53,0.0,8,3
WD,FT,2018,MEX,1,Not interested,IronhackEvent,Female,536.0,0,0,1,70,104,0.010000000000000009,7,3
WD,FT,2018,MEX,0,Not specified,Social Media,Male,952.0,0,0,0,273,305,0.0,1,1
WD,FT,2018,BCN,0,Not specified,Social Media,Male,1125.0,0,0,0,264,421,0.0,9,3
WD,FT,2019,BER,0,Not specified,google,Male,445.0,1,0,1,27,46,0.15000000000000002,8,3
UX,FT,2019,MEX,0,Not specified,IronhackEvent,Female,490.0,1,0,0,31,48,0.0,5,2
WD,PT,2018,PAR,0,Not specified,Social Media,Male,952.0,0,0,0,166,137,0.0,1,1
WD,FT,2020,RMT-Europe,0,Not specified,google,Male,11.0,0,0,0,205,189,0.0,3,1
WD,FT,2018,PAR,0,Not specified,google,Male,1125.0,0,0,0,78,324,0.0,9,3
WD,FT,2021,SAO,0,Not specified,Social Media,Female,22.0,0,0,1,0,416,0.09999999999999998,9,3
WD,FT,2018,SAO,0,Not specified,other,Male,875.0,0,0,0,115,90,0.0,7,3
UX,FT,2018,MEX,0,Not specified,google,Male,952.0,0,0,1,130,305,0.010000000000000009,1,1
WD,FT,2020,RMT-Europe,0,Not specified,switchup,Male,83.0,0,0,0,45,29,0.0,8,3
WD,FT,2018,BCN,0,Not specified,courseReport,Male,1125.0,1,0,0,93,324,0.0,9,3
UX,PT,2020,SAO,0,Not specified,Social Media,Female,441.0,0,0,0,26,338,0.0,8,3
WD,FT,2018,SAO,0,Not specified,Social Media,Male,875.0,0,0,0,64,90,0.0,7,3
UX,FT,2018,MEX,0,Not specified,google,Male,952.0,0,0,1,130,305,0.010000000000000009,1,1
WD,FT,2018,MEX,0,Not specified,Social Media,Male,1125.0,0,0,0,110,133,0.0,9,3
WD,FT,2018,BER,0,Not specified,google,Male,875.0,0,0,1,2,24,0.07999999999999996,7,3
WD,PT,2018,BER,0,Not specified,Referral,Male,952.0,0,0,0,336,248,0.0,1,1
WD,FT,2017,MIA,0,Not specified,courseReport,Male,1345.0,0,0,0,579,177,0.0,3,1
WD,FT,2020,MAD,0,Not specified,other,Female,335.0,0,0,0,172,207,0.15000000000000002,8,3
WD,FT,2018,MAD,0,Not specified,Social Media,Male,1106.0,1,0,1,57,111,0.09999999999999998,11,4
WD,FT,2020,RMT-Europe,0,Not specified,google,Male,11.0,0,0,0,46,30,0.0,8,3
WD,FT,2017,MIA,0,Not specified,Referral,Male,1383.0,0,0,0,100,157,0.0,2,1
WD,FT,2018,MAD,0,Not specified,Social Media,Male,1106.0,0,0,0,105,246,0.0,11,4
DA,FT,2020,MAD,0,Not specified,Referral,Female,222.0,0,0,0,67,115,0.0,4,2
WD,FT,2017,MAD,0,Not specified,Referral,Male,1383.0,1,0,0,52,234,0.0,2,1
WD,FT,2019,MAD,0,Not specified,google,Male,439.0,0,0,0,170,195,0.0,4,2
DA,FT,2020,PAR,0,Not specified,google,Male,323.0,0,0,0,76,68,0.15000000000000002,1,1
WD,FT,2018,BCN,0,Not specified,Referral,Male,550.0,1,0,0,433,343,0.0,11,4
WD,FT,2020,LIS,0,Not specified,google,Male,112.0,0,0,0,75,146,0.0,7,3
UX,FT,2019,LIS,0,Not specified,newspaper_or_magazine,Male,382.0,0,0,0,174,195,0.0,4,2
WD,FT,2020,BCN,0,Not specified,Referral,Male,306.0,0,0,0,76,33,0.0,1,1
WD,FT,2017,MIA,0,Not specified,other,Male,1383.0,0,0,0,100,94,0.0,2,1
WD,FT,2020,PAR,0,Not specified,Social Media,Male,299.0,0,0,0,76,68,0.15000000000000002,1,1
