Bootcamp Course,Bootcamp Format,how did you hear about us?,Person Account: Gender,Stage Duration,Hours Before First Touchpoint,Paid Deposit,Time to first touchpoint - days,Time First touchpoint to Close date - days,Scholarship,Discount,Time Conversion - days,Time between Created Date and Start Date - days,Discount(%),Creater Month,Creater Quarter
DA,FT,Social Media,Male,144.0,12.78,0,0,75,0,0,75,56,0.0,7,3
UX,FT,IronhackEvent,Male,252.0,0.19,0,0,46,0,0,46,122,0.0,2,1
DA,FT,google,Female,291.0,0.34,0,0,46,0,0,46,174,0.0,2,1
DA,FT,other,Male,130.0,0.97,1,0,114,0,0,114,118,0.0,4,2
DA,FT,Social Media,Male,235.0,52.33,0,2,0,0,0,2,130,0.0,3,1
WD,FT,google,Male,288.0,500.28,0,21,47,0,0,68,60,0.15000000000000002,1,1
UX,FT,Referral,Male,196.0,24.45,0,1,63,0,0,64,49,0.0,4,2
DA,FT,google,Male,165.0,17.41,0,1,64,0,0,65,120,0.0,4,2
DA,FT,Social Media,Female,228.0,4.12,0,0,118,0,1,118,155,0.09999999999999998,3,1
WD,FT,google,Male,189.0,2.25,0,0,145,0,0,145,182,0.0,2,1
DA,FT,Referral,Male,217.0,117.0,0,5,56,0,0,61,116,0.0,4,2
WD,PT,other,Male,200.0,19.77,0,1,62,0,0,63,-82,0.0,4,2
UX,PT,google,Female,204.0,15.97,0,30,56,0,0,86,169,0.0,4,2
DA,FT,google,Female,205.0,16.97,0,1,62,0,0,63,100,0.0,4,2
WD,FT,Social Media,Male,211.0,76.3,0,91,86,0,0,177,214,0.0,1,1
UX,FT,Referral,Male,285.0,569.22,0,24,34,0,0,58,50,0.15000000000000002,2,1
WD,FT,google,Male,197.0,2.64,0,0,56,0,0,56,93,0.0,5,2
WD,FT,other,Female,250.0,18.79,0,31,147,0,1,178,215,0.09999999999999998,1,1
UX,FT,Referral,Female,228.0,16.72,0,31,147,0,0,178,163,0.0,1,1
DA,PT,newspaperOrMagazine,Female,250.0,15.62,0,31,147,0,0,178,62,0.0,1,1
DA,FT,google,Female,158.0,2.31,0,0,86,0,1,86,141,0.09999999999999998,4,2
WD,FT,Social Media,Female,235.0,14.17,0,0,147,0,1,147,184,0.09999999999999998,2,1
DA,FT,IronhackEvent,Female,232.0,15.23,0,31,147,0,1,178,215,0.09999999999999998,1,1
WD,FT,Social Media,Female,228.0,18.57,0,31,147,0,1,178,215,0.09999999999999998,1,1
UX,FT,google,Female,228.0,18.44,0,31,147,0,0,178,163,0.0,1,1
DA,FT,google,Female,228.0,19.17,0,29,118,0,1,147,184,0.09999999999999998,2,1
DA,FT,other,Female,196.0,60.13,0,92,26,0,1,118,155,0.09999999999999998,3,1
WD,FT,Social Media,Female,217.0,5.16,0,0,63,0,0,63,100,0.0,4,2
WD,PT,google,Male,196.0,1.46,0,0,64,0,0,64,-81,0.0,4,2
WD,PT,google,Male,223.0,1.41,0,0,62,0,0,62,-83,0.0,4,2
UX,FT,Referral,Female,223.0,20.38,0,1,62,0,0,63,48,0.0,4,2
WD,FT,other,Female,215.0,4.66,0,0,63,0,0,63,100,0.0,4,2
WD,PT,Social Media,Male,295.0,50.17,0,2,43,0,0,45,-9,0.0,2,1
UX,FT,google,Female,280.0,48.71,0,2,43,0,0,45,37,0.15000000000000002,2,1
WD,FT,Referral,Male,274.0,722.49,0,30,33,0,0,63,191,0.0,1,1
DA,FT,Social Media,Male,271.0,33.52,0,1,36,0,0,37,165,0.0,2,1
DA,FT,IronhackEvent,Male,279.0,0.16,1,0,28,0,0,28,33,0.15000000000000002,2,1
WD,FT,Social Media,Female,281.0,30.29,0,31,57,0,0,88,216,0.0,1,1
WD,FT,google,Male,288.0,421.92,0,17,46,0,0,63,55,0.15000000000000002,1,1
WD,FT,other,Male,265.0,3.29,0,0,501,0,0,501,32,0.15000000000000002,2,1
DA,PT,Social Media,Female,259.0,120.43,0,5,7,0,0,12,-13,0.0,3,1
WD,FT,Social Media,Male,284.0,31.52,0,1,43,0,0,44,36,0.15000000000000002,2,1
WD,FT,other,Female,218.0,0.91,0,0,0,0,1,0,128,0.09999999999999998,3,1
WD,FT,newspaperOrMagazine,Female,252.0,410.26,0,17,46,0,0,63,209,0.0,1,1
WD,FT,google,Male,245.0,406.02,0,17,46,0,0,63,191,0.0,1,1
WD,FT,Referral,Male,232.0,94.28,0,122,217,0,0,339,157,0.0,3,1
DA,FT,Social Media,Female,293.0,1.04,0,0,43,0,0,43,35,0.15000000000000002,2,1
WD,FT,Social Media,Female,235.0,19.86,0,1,0,0,1,1,129,0.09999999999999998,3,1
WD,FT,Referral,Male,183.0,0.65,0,0,4,0,0,4,150,0.0,3,1
WD,FT,Referral,Male,246.0,11.08,0,1,43,0,0,44,172,0.0,2,1
WD,PT,newspaperOrMagazine,Female,286.0,9.82,0,0,43,0,0,43,-11,0.0,2,1
WD,FT,Referral,Male,301.0,665.29,1,28,257,0,1,285,61,0.10999999999999999,1,1
UX,FT,Social Media,Male,245.0,8.12,0,0,18,0,0,18,94,0.0,3,1
