Bootcamp Course,Bootcamp Format,Bootcamp Year,Bootcamp Start Date,Campus - Timezone,Created Date,Close Date,Stage,Discount Amount (converted),Scholarship Amount (converted),Amount (converted),Net Amount With VAT (converted),Drop,Drop Reason,how did you hear about us?,Person Account: Gender,Stage Duration
WD,FT,2018,2018-01-22,MEX,2017-09-11,2017-12-30,Closed lost,0.0,0.0,3225.81,3225.81,0,Not specified,Social Media,Male,1125.0
UX,FT,2018,2018-10-22,AMS,2018-07-17,2018-08-25,Closed lost,0.0,0.0,6000.0,6000.0,0,Not specified,google,Male,875.0
UX,FT,2018,2018-08-20,BCN,2018-01-05,2018-05-28,Closed lost,0.0,0.0,6500.0,6500.0,0,Not specified,google,Male,952.0
WD,FT,2020,2020-08-17,MIA,2020-07-14,2020-07-14,Closed lost,0.0,0.0,11061.95,11061.95,0,Not specified,Social Media,Female,147.0
WD,PT,2018,2018-11-06,MIA,2017-09-11,2018-10-04,Closed lost,884.96,0.0,10176.99,9292.04,0,Not specified,other,Male,1125.0
UX,FT,2018,2018-10-29,MEX,2018-07-17,2018-07-26,Closed lost,0.0,0.0,3225.81,3225.81,0,Not specified,Social Media,Male,875.0
WD,PT,2018,2018-10-22,MEX,2018-01-05,2018-08-05,Closed lost,0.0,0.0,3225.81,3225.81,0,Not specified,Social Media,Male,952.0
UX,FT,2018,2018-08-01,PAR,2017-09-11,2017-12-12,Closed lost,0.0,0.0,6500.0,6500.0,0,Not specified,google,Male,1125.0
WD,PT,2019,2019-09-21,PAR,2019-08-29,2019-10-17,Closed lost,0.0,0.0,7500.0,7500.0,0,Not specified,Social Media,Female,418.0
WD,FT,2018,2018-10-14,PAR,2018-07-17,2018-08-22,Closed lost,1000.0,0.0,7500.0,6500.0,0,Not specified,google,Male,875.0
WD,PT,2018,2018-10-22,MEX,2018-01-05,2018-08-05,Closed lost,0.0,0.0,3225.81,3225.81,0,Not specified,Social Media,Male,952.0
WD,FT,2020,2020-08-17,MIA,2020-07-08,2020-09-30,Closed lost,0.0,0.0,11061.95,11061.95,0,Not specified,google,Male,117.0
WD,PT,2019,2019-10-21,MIA,2019-08-29,2019-09-22,Closed lost,0.0,0.0,10619.47,10619.47,0,Not specified,Social Media,Female,442.0
WD,FT,2018,2018-10-29,MEX,2018-07-17,2018-09-25,Closed lost,46.08,0.0,3225.81,3179.72,1,Not interested,IronhackEvent,Female,536.0
WD,FT,2018,2018-11-06,MEX,2018-01-05,2018-10-05,Closed lost,0.0,0.0,3225.81,3225.81,0,Not specified,Social Media,Male,952.0
WD,FT,2018,2018-11-06,BCN,2017-09-11,2018-06-02,Closed lost,0.0,0.0,6500.0,6500.0,0,Not specified,Social Media,Male,1125.0
WD,FT,2019,2019-10-14,BER,2019-08-29,2019-09-25,Paid Deposit,1050.0,0.0,7000.0,5950.0,0,Not specified,google,Male,445.0
UX,FT,2019,2019-07-16,MEX,2019-05-29,2019-06-29,Paid Deposit,0.0,0.0,3225.81,3225.81,0,Not specified,IronhackEvent,Female,490.0
